Categoria,Técnica,Nome Completo,Onde Aparece no CSV,Explicação,Implementação/Código,Fases Utilizadas,Impacto/Objetivo
Pré-processamento,CLAHE,Contrast Limited Adaptive Histogram Equalization,Coluna: Filtro,Equalização adaptativa de histograma que melhora o contraste local da imagem sem amplificar ruído. Divide a imagem em tiles e aplica equalização limitada (clip_limit=4.0).,cv2.createCLAHE(clipLimit=4.0) + conversão LAB,2 e 2.5,Realça estruturas ósseas e detalhes sutis em imagens médicas
Pré-processamento,ROI Crop,Region of Interest Cropping,Coluna: Input,Extração da região de interesse detectada pelo YOLO com margem adicional ao redor da bounding box. Fase 1.5 usa 15% de margem; Fases 2/2.5 usam 40% de margem.,YOLO detecção + expansão bbox com PADDING (0.15 ou 0.40),1.5 (15%); 2 e 2.5 (40%),Foca o modelo na região relevante e fornece contexto anatômico variável
Data Augmentation,HFlip,Random Horizontal Flip,Coluna: Augment.,Espelhamento horizontal aleatório da imagem durante o treinamento para aumentar variabilidade.,transforms.RandomHorizontalFlip(),Todas as fases,Aumenta robustez a orientações diferentes
Data Augmentation,VFlip,Random Vertical Flip,Coluna: Augment.,Espelhamento vertical aleatório da imagem durante o treinamento.,transforms.RandomVerticalFlip(),2 e 2.5,Aumenta robustez a orientações verticais
Data Augmentation,Rot15°,Random Rotation 15°,Coluna: Augment.,Rotação aleatória de até ±15 graus para simular variações de posicionamento.,transforms.RandomRotation(15),Todas as fases (exceto YOLO),Simula variações naturais no posicionamento do paciente
Data Augmentation,ColorJitter,Color Jitter,Coluna: Augment.,Variações aleatórias em brilho e contraste (brightness=0.1; contrast=0.1).,transforms.ColorJitter(brightness=0.1; contrast=0.1),1; 1.5,Simula variações de iluminação e aquisição
Data Augmentation,Zoom(85-100%),Random Resized Crop,Coluna: Augment.,Crop aleatório com zoom entre 85% e 100% do tamanho original; simula variações de escala e enquadramento.,transforms.RandomResizedCrop(size; scale=(0.85; 1.0)),2.5,Aumenta robustez a variações de escala e enquadramento
Balanceamento,Class Weights (Loss),Weighted Cross-Entropy Loss,Coluna: Sampler,Pesos inversamente proporcionais à frequência das classes aplicados na função de perda. Benigno ~0.6; Maligno ~2.7. Penaliza mais erros na classe minoritária.,nn.CrossEntropyLoss(weight=[0.6; 2.7]),1 e 1.5,Compensa desbalanceamento penalizando erros na classe minoritária
Balanceamento,WeightedRandomSampler,Weighted Random Sampler,Coluna: Sampler,Amostragem ponderada que sorteia mais frequentemente exemplos da classe minoritária durante criação dos batches (oversampling on-the-fly).,torch.utils.data.WeightedRandomSampler,2 e 2.5,Balanceia distribuição de classes nos batches de treinamento
Otimização,AdamW,Adam with Weight Decay,Coluna: Otimiz. / LR,Otimizador Adam com regularização L2 desacoplada (weight decay). Learning rate = 1e-4.,optim.AdamW(params; lr=1e-4),Todas as fases,Convergência eficiente com regularização implícita
